FID,anzahl_stellplaetze,zusatzbeleuchtung,bike_and_ride,doppelstock,status,geplant,lastenrad,standort,standortnummer,typ_generalisiert,ueberdacht,zeitl_begrenzung,status_bedeutung,shape
opendata_ruhver_fahrradparken_line.42,17,Nein,Ja,Nein,2,,Nein,Josef-Frankl-Str. 3,215,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((688629.5710007731 5343188.699998138, 688639.6180007734 5343187.962998137))"
opendata_ruhver_fahrradparken_line.43,16,Nein,Ja,Nein,2,,Nein,Josef-Frankl-Str. 1 a,216,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((688647.5040007732 5343190.301998137, 688647.0410007733 5343185.411998137))"
opendata_ruhver_fahrradparken_line.44,16,Nein,Ja,Nein,2,,Nein,Josef-Frankl-Str. 1,217,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((688652.3350007734 5343189.917998136, 688651.9820007735 5343185.032998136))"
opendata_ruhver_fahrradparken_line.45,16,Nein,Ja,Nein,2,,Nein,Adalbertstr. 6,2002,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691947.0890008444 5336358.958997944, 691956.0710008446 5336355.542997945))"
opendata_ruhver_fahrradparken_line.46,8,Nein,Nein,Nein,2,,Nein,Gleißnerstr. 16,1,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((695261.5720009202 5331836.943997725, 695265.9840009203 5331837.788997726))"
opendata_ruhver_fahrradparken_line.47,21,Nein,Ja,Nein,2,,Nein,Knorrstr. 150,51,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((691150.7160008261 5341188.155997989, 691162.7240008265 5341187.9319979865))"
opendata_ruhver_fahrradparken_line.48,35,Nein,Ja,Nein,2,,Nein,Englschalkinger Str. 71,54,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((695036.8720009138 5336759.58199773, 695038.3130009137 5336740.626997731))"
opendata_ruhver_fahrradparken_line.49,14,Nein,Ja,Nein,2,,Nein,Englschalkinger Str. 71,53,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((695052.0340009141 5336739.905997729, 695043.837000914 5336739.56099773))"
opendata_ruhver_fahrradparken_line.50,14,Nein,Ja,Nein,2,,Nein,Englschalkinger Str. 71,55,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((695038.7490009137 5336739.010997729, 695030.2550009137 5336738.517997731))"
opendata_ruhver_fahrradparken_line.51,8,Nein,Ja,Nein,2,,Nein,Elektrastr. 13,56,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((695117.6510009156 5336699.241997725, 695117.7520009156 5336695.471997723))"
opendata_ruhver_fahrradparken_line.52,9,Nein,Ja,Nein,2,,Nein,Englschalkinger Str. 74,57,Rahmenhalter,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((695101.4010009151 5336698.695997725, 695101.3850009153 5336694.470997726))"
opendata_ruhver_fahrradparken_line.53,10,Nein,Ja,Nein,2,,Nein,Englschalkinger Str. 74,58,Anlehnbügel,Nein,,in Bestand / in Betrieb,"MULTILINESTRING ((695097.1040009151 5336698.258997726, 695096.9980009152 5336694.636997726))"
