FID,objectid,objekt,bezeichnung,bemerkung,shape
opendata_trinkwasserbrunnen.79,661,Trinkbrunnen,WC-Anlage	Hirschgarten,Trinkwasserspender,POINT (687157.9523007447 5335823.862098233)
opendata_trinkwasserbrunnen.80,662,Trinkbrunnen,WC-Anlage	Maßmannpark,Trinkwasserspender,POINT (690342.4830008099 5336456.905698047)
opendata_trinkwasserbrunnen.81,677,Trinkbrunnen,"WC-Anlage	 ""Floßlände/ Marienklausenbrücke""",Trinkwasserspender,POINT (689681.4889007973 5329753.200498099)
opendata_trinkwasserbrunnen.82,977,Trinkbrunnen,Trinkwasserspender,,POINT (688051.325300762 5339614.1150981765)
opendata_trinkwasserbrunnen.83,978,Trinkbrunnen,Trinkwasserspender,,POINT (690442.0881008107 5343082.341898029)
opendata_trinkwasserbrunnen.84,641,Trinkbrunnen,Marienbrunnen,Trinkwasserbrunnen,POINT (682903.558200664 5335522.770698449)
opendata_trinkwasserbrunnen.85,961,Trinkbrunnen,Trinkwasserspender,,POINT (692356.315300853 5337681.539297917)
opendata_trinkwasserbrunnen.86,962,Trinkbrunnen,Trinkwasserspender,,POINT (700211.3867010403 5334405.586597321)
opendata_trinkwasserbrunnen.87,963,Trinkbrunnen,Trinkwasserspender,,POINT (690883.5762008214 5336765.903998012)
opendata_trinkwasserbrunnen.88,964,Trinkbrunnen,Trinkwasserspender,,POINT (688373.4377007692 5336382.002498165)
opendata_trinkwasserbrunnen.89,965,Trinkbrunnen,Trinkwasserspender,,POINT (689815.0527007992 5334612.814498084)
opendata_trinkwasserbrunnen.90,979,Trinkbrunnen,WC- Anlage Theresienwiese,Trinkwasserspender an Außenfassade,POINT (689832.2374007995 5334451.206698082)
opendata_trinkwasserbrunnen.91,657,Trinkbrunnen,Bismarckbrunnen,Trinkwasserbrunnen,POINT (683218.3731006698 5336068.855098433)
opendata_trinkwasserbrunnen.92,658,Trinkbrunnen,St.-Christophorus-Brunnen,Trinkwasserbrunnen,POINT (682672.3249006598 5335267.695198461)
opendata_trinkwasserbrunnen.93,642,Trinkbrunnen,WC-Anlage	Weißenseepark,Trinkwasserspender,POINT (692441.0257008562 5331488.180897921)
opendata_trinkwasserbrunnen.94,643,Trinkbrunnen,WC-Anlage	Taxispark,Trinkwasserspender,POINT (688445.0116007703 5337596.957298158)
opendata_trinkwasserbrunnen.95,648,Trinkbrunnen,Trinkwasserspender,,POINT (695197.4640009184 5333373.322197728)
opendata_trinkwasserbrunnen.96,1921,Trinkbrunnen,Trinkwasserstele Laimer Anger,,POINT (685969.7098007216 5334830.129598299)
